Title;Desc;Type;BodyPart;Equipment;Level;Rating;VideoLink
Dumbbell Bicep Curl;The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Strength;Biceps;Dumbbell;Intermediate;9.1;https://www.youtube.com/watch?v=ykJmrZ5v0Oo&pp=ygUTRHVtYmJlbGwgQmljZXAgQ3VybA%3D%3D
Cross-body hammer curl;The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.;Strength;Biceps;Dumbbell;Beginner;9.0;https://www.youtube.com/watch?v=On2eca-C00E&pp=ygUWQ3Jvc3MtYm9keSBoYW1tZXIgY3VybA%3D%3D
Dumbbell Alternate Bicep Curl;The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Strength;Biceps;Dumbbell;Intermediate;8.9;https://www.youtube.com/watch?v=sAq_ocpRh_I&pp=ygUdRHVtYmJlbGwgQWx0ZXJuYXRlIEJpY2VwIEN1cmw%3D
Single-arm dumbbell preacher curl;The single-arm dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. Most people will go light on this movement, performing it for moderate to high reps as part of an upper-body or arms-focused workout.;Strength;Biceps;Dumbbell;Intermediate;8.9;https://www.youtube.com/watch?v=2hmQRh6ZF4o&pp=ygUhU2luZ2xlLWFybSBkdW1iYmVsbCBwcmVhY2hlciBjdXJs
Alternate Incline Dumbbell Curl;The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.;Strength;Biceps;Dumbbell;Intermediate;8.7;https://www.youtube.com/watch?v=soxrZlIl35U&pp=ygUfQWx0ZXJuYXRlIEluY2xpbmUgRHVtYmJlbGwgQ3VybA%3D%3D
Standing concentration curl;The standing concentration curl is a variation on the more common seated concentration curl, which is a staple of bodybuilding arm routines. It can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak. It is usually performed for moderate to high reps, such as 8-10 reps per set, with a focus on strict form and controlled tempo.;Strength;Biceps;Dumbbell;Beginner;8.7;https://www.youtube.com/watch?v=bbFFdxcAYiw&pp=ygUbU3RhbmRpbmcgY29uY2VudHJhdGlvbiBjdXJs
Alternating incline dumbbell biceps curl;The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.;Strength;Biceps;Dumbbell;Intermediate;8.7;https://www.youtube.com/watch?v=soxrZlIl35U&pp=ygUoQWx0ZXJuYXRpbmcgaW5jbGluZSBkdW1iYmVsbCBiaWNlcHMgY3VybA%3D%3D
Alternate Hammer Curl;The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Strength;Biceps;Dumbbell;Intermediate;8.7;https://www.youtube.com/watch?v=WGTCVgCqLqM&pp=ygUVQWx0ZXJuYXRlIEhhbW1lciBDdXJs
Seated dumbbell biceps curl;The seated dumbbell biceps curl is a popular exercise for building bigger biceps. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Strength;Biceps;Dumbbell;Intermediate;8.6;https://www.youtube.com/watch?v=BsULGO70tcU&pp=ygUbU2VhdGVkIGR1bWJiZWxsIGJpY2VwcyBjdXJs
Dumbbell preacher curl;The dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. All you need is a pair of dumbbells and a preacher bench. It's usually performed for moderate to high reps as part of an upper-body or arms-focused workout.;Strength;Biceps;Dumbbell;Intermediate;8.6;https://www.youtube.com/watch?v=vngli9UR6Hw&pp=ygUWRHVtYmJlbGwgcHJlYWNoZXIgY3VybA%3D%3D
Standing Dumbbell Reverse Curl;With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated.;Strength;Biceps;Dumbbell;Beginner;8.6;https://www.youtube.com/watch?v=uiH-2J85mzI&pp=ygUeU3RhbmRpbmcgRHVtYmJlbGwgUmV2ZXJzZSBDdXJs
Palms-out incline biceps curl;"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.";Strength;Biceps;Dumbbell;Beginner;8.3;https://www.youtube.com/watch?v=uZ7JZ8Lx51s&pp=ygUdUGFsbXMtb3V0IGluY2xpbmUgYmljZXBzIGN1cmw%3D
Straight-arm plank with biceps curl;The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge.;Strength;Biceps;Dumbbell;Beginner;8.1;https://www.youtube.com/shorts/bglYQfQuEIY
Face-down incline dumbbell biceps curl;The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.;Strength;Biceps;Dumbbell;Beginner;8.0;https://www.youtube.com/watch?v=wx05v_ga-pA&pp=ygUmRmFjZS1kb3duIGluY2xpbmUgZHVtYmJlbGwgYmljZXBzIGN1cmw%3D
Overhead cable curl;Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.;Strength;Biceps;Cable;Intermediate;7.7;https://www.youtube.com/watch?v=5_n3gVeGEqc&pp=ygUTT3ZlcmhlYWQgY2FibGUgY3VybA%3D%3D
Standing One-Arm Cable Curl;"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.";Strength;Biceps;Cable;Beginner;7.6;https://www.youtube.com/watch?v=uuKeFiq5Ojc&pp=ygUbU3RhbmRpbmcgT25lLUFybSBDYWJsZSBDdXJs
Standing Biceps Cable Curl;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Strength;Biceps;Cable;Intermediate;9.0;https://www.youtube.com/watch?v=NFzTWp2qpiE&pp=ygUaU3RhbmRpbmcgQmljZXBzIENhYmxlIEN1cmw%3D
Cable rope hammer curl;The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weight stack. It uses a neutral (palms facing one another) grip, which targets the forearms and brachialis muscles in addition to the biceps. Because grip is a limitation, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.;Strength;Biceps;Cable;Intermediate;8.8;https://www.youtube.com/watch?v=1Quc_tOv97I&pp=ygUWQ2FibGUgcm9wZSBoYW1tZXIgY3VybA%3D%3D
Lying cable biceps curl;The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.;Strength;Biceps;Cable;Beginner;8.5;https://www.youtube.com/watch?v=khyjpRPUEB0&pp=ygUXTHlpbmcgY2FibGUgYmljZXBzIGN1cmw%3D
Cable rope preacher hammer curl;"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.";Strength;Biceps;Cable;Beginner;8.2;https://www.youtube.com/watch?v=keqOIZNaGbk&pp=ygUfQ2FibGUgcm9wZSBwcmVhY2hlciBoYW1tZXIgY3VybA%3D%3D
Lying Close-Grip Bar Curl On High Pulley;The lying high-cable biceps curl is an unusual move for building the bicepsвЂ”but itвЂ™s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.;Strength;Biceps;Cable;Beginner;8.2;https://www.youtube.com/watch?v=76_uuVdMN10&pp=ygUoTHlpbmcgQ2xvc2UtR3JpcCBCYXIgQ3VybCBPbiBIaWdoIFB1bGxleQ%3D%3D
Machine Preacher Curls;The machine preacher curl is an isolation exercise targeting the biceps.;Strength;Biceps;Machine;Beginner;7.5;https://www.youtube.com/watch?v=Ja6ZlIDONac&pp=ygUWTWFjaGluZSBQcmVhY2hlciBDdXJscw%3D%3D
EZ-Bar Curl;The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.;Strength;Biceps;E-Z Curl Bar;Intermediate;7.1;https://www.youtube.com/watch?v=tJIFTI9wZOw&pp=ygULRVotQmFyIEN1cmw%3D
Reverse Barbell Preacher Curls;The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.;Strength;Biceps;E-Z Curl Bar;Beginner;8.3;https://www.youtube.com/watch?v=PyYbM9QApDE&pp=ygUeUmV2ZXJzZSBCYXJiZWxsIFByZWFjaGVyIEN1cmxz
Calf SMR;"Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves.";Stretching;Calves;Foam Roll;Beginner;9.1;https://www.youtube.com/watch?v=w-e7YIpiok0&pp=ygUIQ2FsZiBTTVI%3D
Standing barbell calf raise;The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.;Strength;Calves;Barbell;Beginner;8.8;https://www.youtube.com/watch?v=3UWi44yN-wM&pp=ygUbU3RhbmRpbmcgYmFyYmVsbCBjYWxmIHJhaXNl
Weighted donkey calf raise;The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.;Strength;Calves;Other;Intermediate;6.0;https://www.youtube.com/watch?v=r30EoMPSNns&pp=ygUaV2VpZ2h0ZWQgZG9ua2V5IGNhbGYgcmFpc2U%3D
Smith Machine Calf Raise;The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.;Strength;Calves;Machine;Intermediate;8.2;https://www.youtube.com/watch?v=1lKjFPrYqf0&pp=ygUYU21pdGggTWFjaGluZSBDYWxmIFJhaXNl
Standing Calf Raises;The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.;Strength;Calves;Machine;Beginner;7.4;https://www.youtube.com/watch?v=-qsRtp_PbVM&pp=ygUUU3RhbmRpbmcgQ2FsZiBSYWlzZXM%3D
Seated Calf Raise;The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.;Strength;Calves;Machine;Intermediate;9.2;https://www.youtube.com/watch?v=JbyjNymZOt0&pp=ygURU2VhdGVkIENhbGYgUmFpc2U%3D
Calf Press On The Leg Press Machine;The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves.;Strength;Calves;Machine;Intermediate;9.0;https://www.youtube.com/watch?v=Hu8i9d_IgpM&pp=ygUjQ2FsZiBQcmVzcyBPbiBUaGUgTGVnIFByZXNzIE1hY2hpbmU%3D
Calf Press;The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.;Strength;Calves;Machine;Beginner;8.7;https://www.youtube.com/watch?v=Hu8i9d_IgpM&pp=ygUKQ2FsZiBQcmVzcw%3D%3D
Wall calf stretch;The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.;Stretching;Calves;Body Only;Intermediate;8.7;https://www.youtube.com/shorts/tUA4MO1kXV8
Close-grip bench press;The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.;Strength;Chest;Barbell;Intermediate;8.5;https://www.youtube.com/watch?v=Cv5nS1AH_jE&pp=ygUWQ2xvc2UtZ3JpcCBiZW5jaCBwcmVzcw%3D%3D
Barbell Bench Press - Medium Grip;The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind;Strength;Chest;Barbell;Intermediate;5.3;https://www.youtube.com/watch?v=RsobeWfbBcY&pp=ygUhQmFyYmVsbCBCZW5jaCBQcmVzcyAtIE1lZGl1bSBHcmlw
Decline barbell bench press;The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.;Strength;Chest;Barbell;Intermediate;9.1;https://www.youtube.com/watch?v=LfyQBUKR8SE&pp=ygUbRGVjbGluZSBiYXJiZWxsIGJlbmNoIHByZXNz
Wide-grip bench press;The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.;Strength;Chest;Barbell;Beginner;9.0;https://www.youtube.com/watch?v=jHoTF0kpkhQ&pp=ygUVV2lkZS1ncmlwIGJlbmNoIHByZXNz
Barbell Incline Bench Press Medium-Grip;The incline bench press is an upper body compound movement that targets the upper chest.;Strength;Chest;Barbell;Intermediate;8.9;https://www.youtube.com/watch?v=lJ2o89kcnxY&pp=ygUnQmFyYmVsbCBJbmNsaW5lIEJlbmNoIFByZXNzIE1lZGl1bS1Hcmlw
Board bench press;The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you can load it more heavily than a full bench press, it allows you to overload the triceps and lock out of the bench press.;Powerlifting;Chest;Barbell;Intermediate;8.9;https://www.youtube.com/watch?v=Xu2ICNi65WY&pp=ygURQm9hcmQgYmVuY2ggcHJlc3M%3D
Barbell Bench Press-Wide Grip;The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.;Strength;Chest;Barbell;Beginner;8.8;https://www.youtube.com/watch?v=jHoTF0kpkhQ&pp=ygUdQmFyYmVsbCBCZW5jaCBQcmVzcy1XaWRlIEdyaXA%3D
Kettlebell plyo push-up;The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps or time, either for low reps to build explosive power or for higher reps for conditioning.;Strength;Chest;Kettlebells;Intermediate;7.7;https://www.youtube.com/watch?v=sYGjmMnF4-I&pp=ygUXS2V0dGxlYmVsbCBwbHlvIHB1c2gtdXA%3D
Kettlebell alternating floor press;The kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift, overload the triceps, and work on strengthening the shoulder stabilizers.;Strength;Chest;Kettlebells;Beginner;7.6;https://www.youtube.com/watch?v=i_URJN83nys&pp=ygUiS2V0dGxlYmVsbCBhbHRlcm5hdGluZyBmbG9vciBwcmVzcw%3D%3D
Pushups;The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. ItвЂ™s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.;Strength;Chest;Body Only;Intermediate;8.0;https://www.youtube.com/watch?v=IODxDxX7oi4&pp=ygUHUHVzaHVwcw%3D%3D
Incline Push-Up;The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.;Strength;Chest;Body Only;Intermediate;6.0;https://www.youtube.com/watch?v=cfns5VDVVvk&pp=ygUPSW5jbGluZSBQdXNoLVVw
Hands-elevated push-up;The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.;Strength;Chest;Body Only;Beginner;9.2;https://www.youtube.com/watch?v=bofmAEIzABo&pp=ygUWSGFuZHMtZWxldmF0ZWQgcHVzaC11cA%3D%3D
Decline Push-Up;The feet-elevated push-up is a variation on the push-up, a body-weight standard. The feet are elevated, so that your body is aligned at an angle to the floor rather than parallel.;Strength;Chest;Body Only;Intermediate;8.8;https://www.youtube.com/watch?v=5QFjmotLfW4&pp=ygUPRGVjbGluZSBQdXNoLVVw
Close push-up to wide push-up;The close push-up to wide push-up combines two variations of a push-up to emphasize the strengthening of different muscles. The close push-up emphasizes the triceps, while the wide push-up emphasizes the chest and shoulders.;Strength;Chest;Body Only;Intermediate;8.7;https://www.youtube.com/watch?v=0KVmSre250s&pp=ygUdQ2xvc2UgcHVzaC11cCB0byB3aWRlIHB1c2gtdXA%3D
Wide-grip hands-elevated push-up;The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra width also puts more emphasis on the chest muscles. It can be used as a substitute for wide-grip floor push-ups, or as a mechanical dropset after maxing out on floor push-ups.;Strength;Chest;Body Only;Beginner;8.6;https://www.youtube.com/watch?v=N8gLNwdEYwo&pp=ygUgV2lkZS1ncmlwIGhhbmRzLWVsZXZhdGVkIHB1c2gtdXA%3D
Feet-elevated push-up;The feet-elevated push-up is a variation on the push-up, a bodyweight standard. The feet are elevated so that your body is aligned at an angle to the floor rather than parallel. This makes it more difficult than push-ups on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a bodyweight substitute for incline presses, or as a burnout movement for a chest or shoulder workout.;Strength;Chest;Body Only;Intermediate;8.5;https://www.youtube.com/watch?v=VTE730D0VIk&pp=ygUVRmVldC1lbGV2YXRlZCBwdXNoLXVw
Isometric Wipers;The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.;Strength;Chest;Body Only;Beginner;8.5;https://www.youtube.com/watch?v=XtQ-Kx_1OVs&pp=ygUQSXNvbWV0cmljIFdpcGVycw%3D%3D
Clock push-up;The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and shoulders, but adds an endurance and core challenge to traditional push-ups.;Strength;Chest;Body Only;Beginner;8.5;https://www.youtube.com/watch?v=Sd9yOJoWTDY&pp=ygUNQ2xvY2sgcHVzaC11cA%3D%3D
Push-Up Wide;The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.;Strength;Chest;Body Only;Beginner;8.4;https://www.youtube.com/watch?v=BAtDJMM54Ig&pp=ygUMUHVzaC1VcCBXaWRl
Sphinx push-up;The sphinx push-up is a difficult variation of the push-up that ends with the forearms on the ground in front of the body, rather than with the chest on the ground. It puts more stress on the triceps than traditional push-ups. It can be performed for time or reps in any bodyweight workout or during any arms-focused portion of a workout.;Strength;Chest;Body Only;Intermediate;8.4;https://www.youtube.com/watch?v=GwoCzryAo1s&pp=ygUOU3BoaW54IHB1c2gtdXA%3D
Close-Hands Push-Up;The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.;Strength;Chest;Body Only;Beginner;8.3;https://www.youtube.com/watch?v=piib-vj7lf8&pp=ygUTQ2xvc2UtSGFuZHMgUHVzaC1VcA%3D%3D
Tiger-bend push-up;The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.;Strength;Chest;Body Only;Beginner;8.0;https://www.youtube.com/watch?v=wjIZTDc-oZc&pp=ygUSVGlnZXItYmVuZCBwdXNoLXVw
Plyo push-up;The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.;Plyometrics;Chest;Body Only;Beginner;7.8;https://www.youtube.com/watch?v=Y-uF4F3mQIs&pp=ygUMUGx5byBwdXNoLXVw
Close-grip hands-elevated push-up;The close-grip hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than close-grip push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or close-grip push-ups, or as a mechanical dropset after maxing out on floor push-ups.;Strength;Chest;Body Only;Intermediate;7.6;https://www.youtube.com/watch?v=i2o8RMymibQ&pp=ygUhQ2xvc2UtZ3JpcCBoYW5kcy1lbGV2YXRlZCBwdXNoLXVw
Suspended push-up;The suspended push-up is a bodyweight pushing exercise performed on a suspension strap system or gymnastic rings. It targets the chest, shoulders, and triceps, but is also challenging to the core and upper back. It can work in traditional strength and muscle-building rep ranges or for higher reps.;Strength;Chest;Body Only;Intermediate;7.5;https://www.youtube.com/watch?v=LWGm1xC_fgU&pp=ygURU3VzcGVuZGVkIHB1c2gtdXA%3D
Push Up to Side Plank;The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can be performed as part of a dynamic warm-up or any bodyweight strength-training workout.;Strength;Chest;Body Only;Intermediate;7.4;https://www.youtube.com/watch?v=o2Qek4N2ea8&pp=ygUVUHVzaCBVcCB0byBTaWRlIFBsYW5r
Side-to-side push-up;The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.;Strength;Chest;Body Only;Beginner;7.3;https://www.youtube.com/watch?v=Ro1YZsjJqNE&pp=ygUUU2lkZS10by1zaWRlIHB1c2gtdXA%3D
Butterfly;The machine chest fly is an exercise targeting the chest. The motion is often compared to bear-hugging a tree trunk. In chest workouts, this exercise often follows compound moves such as the bench press.;Strength;Chest;Machine;Intermediate;7.1;https://www.youtube.com/watch?v=4lhnCm7I4FU&pp=ygUJQnV0dGVyZmx5
Leverage Chest Press;The machine chest press is an upper body exercise targeting the pectoral muscles.;Strength;Chest;Machine;Beginner;6.7;https://www.youtube.com/watch?v=ez1rUMWgWH8&pp=ygUUTGV2ZXJhZ2UgQ2hlc3QgUHJlc3M%3D
Decline Smith Press;The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.;Strength;Chest;Machine;Beginner;8.5;https://www.youtube.com/watch?v=39qwRmE6ffc&pp=ygUTRGVjbGluZSBTbWl0aCBQcmVzcw%3D%3D
Smith machine bench press;The Smith machine bench press is a machine-based movement targeting the chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.;Strength;Chest;Machine;Intermediate;8.5;https://www.youtube.com/watch?v=z_r6hDOYtO0&pp=ygUZU21pdGggbWFjaGluZSBiZW5jaCBwcmVzcw%3D%3D
Machine chest press;The machine chest press is a machine-based exercise targeting the chest. It approximates the motion of a bench press but is usually performed facing forward and seated upright. Many machines offer multiple grip options, such as overhand, neutral (palms facing), or underhand. The chest press is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a pre-exhaust or muscle-building upper-body workout.;Strength;Chest;Machine;Intermediate;8.4;https://www.youtube.com/watch?v=SUdQ1roIWz0&pp=ygUTTWFjaGluZSBjaGVzdCBwcmVzcw%3D%3D
Smith Machine Incline Bench Press;The Smith machine incline bench press is a machine-based movement targeting the chest, particularly the upper chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.;Strength;Chest;Machine;Intermediate;8.3;https://www.youtube.com/watch?v=b8DqTO6ak0k&pp=ygUhU21pdGggTWFjaGluZSBJbmNsaW5lIEJlbmNoIFByZXNz
Smith Machine Close-Grip Bench Press;The Smith machine close-grip bench press is a machine-based movement targeting the chest and triceps. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest, arms, or upper-body focused workout.;Strength;Chest;Machine;Intermediate;8.2;https://www.youtube.com/watch?v=0TPkV7AXX8o&pp=ygUkU21pdGggTWFjaGluZSBDbG9zZS1HcmlwIEJlbmNoIFByZXNz
Smith Machine Decline Press;The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.;Strength;Chest;Machine;Beginner;8.0;https://www.youtube.com/watch?v=39qwRmE6ffc&pp=ygUbU21pdGggTWFjaGluZSBEZWNsaW5lIFByZXNz
Low-cable cross-over;The low-cable cross-over is an isolation movement that uses a cable stack to target the upper portion of the pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often in combination with presses or flyes from other angles to target all portions of the chest.;Strength;Chest;Cable;Intermediate;8.0;https://www.youtube.com/watch?v=77UbTnqvVzE&pp=ygUUTG93LWNhYmxlIGNyb3NzLW92ZXI%3D
